id_municipio,nome_municipio,ano,id_meta_indicador,populacao_alvo,matriculas,percentual_meta,taxa_execucao_meta,taxa_matriculas,deficit_absoluto,deficit_meta
1200013,Acrelândia,2019,1.1,546,486,1,0.8901098901098901,0.8901098901098901,60,60
1200013,Acrelândia,2020,1.1,555,447,1,0.8054054054054054,0.8054054054054054,108,108
1200013,Acrelândia,2021,1.1,563,410,1,0.7282415630550622,0.7282415630550622,153,153
1200013,Acrelândia,2022,1.1,502,408,1,0.8127490039840638,0.8127490039840638,94,94
1200013,Acrelândia,2023,1.1,513,456,1,0.8888888888888888,0.8888888888888888,57,57
1200054,Assis Brasil,2019,1.1,327,356,1,1.0886850152905199,1.0886850152905199,0,0
1200054,Assis Brasil,2020,1.1,332,327,1,0.9849397590361446,0.9849397590361446,5,5
1200054,Assis Brasil,2021,1.1,337,289,1,0.857566765578635,0.857566765578635,48,48
1200054,Assis Brasil,2022,1.1,357,319,1,0.8935574229691877,0.8935574229691877,38,38
1200054,Assis Brasil,2023,1.1,367,433,1,1.1798365122615804,1.1798365122615804,0,0
1200104,Brasiléia,2019,1.1,946,661,1,0.6987315010570825,0.6987315010570825,285,285
1200104,Brasiléia,2020,1.1,961,692,1,0.7200832466181062,0.7200832466181062,269,269
1200104,Brasiléia,2021,1.1,976,763,1,0.7817622950819673,0.7817622950819673,213,213
1200104,Brasiléia,2022,1.1,936,806,1,0.8611111111111112,0.8611111111111112,130,130
1200104,Brasiléia,2023,1.1,969,873,1,0.9009287925696594,0.9009287925696594,96,96
1200138,Bujari,2019,1.1,378,325,1,0.8597883597883598,0.8597883597883598,53,53
1200138,Bujari,2020,1.1,383,306,1,0.7989556135770235,0.7989556135770235,77,77
1200138,Bujari,2021,1.1,389,282,1,0.7249357326478149,0.7249357326478149,107,107
1200138,Bujari,2022,1.1,475,270,1,0.5684210526315789,0.5684210526315789,205,205
1200138,Bujari,2023,1.1,491,385,1,0.7841140529531568,0.7841140529531568,106,106
1200179,Capixaba,2019,1.1,409,438,1,1.0709046454767726,1.0709046454767726,0,0
1200179,Capixaba,2020,1.1,418,426,1,1.0191387559808613,1.0191387559808613,0,0
1200179,Capixaba,2021,1.1,428,418,1,0.9766355140186916,0.9766355140186916,10,10
1200179,Capixaba,2022,1.1,362,403,1,1.1132596685082874,1.1132596685082874,0,0
1200179,Capixaba,2023,1.1,371,411,1,1.1078167115902966,1.1078167115902966,0,0
1200203,Cruzeiro do Sul,2019,1.1,3032,3480,1,1.1477572559366755,1.1477572559366755,0,0
1200203,Cruzeiro do Sul,2020,1.1,3056,3624,1,1.1858638743455496,1.1858638743455496,0,0
1200203,Cruzeiro do Sul,2021,1.1,3080,3382,1,1.098051948051948,1.098051948051948,0,0
1200203,Cruzeiro do Sul,2022,1.1,3153,3161,1,1.0025372660957819,1.0025372660957819,0,0
1200203,Cruzeiro do Sul,2023,1.1,3264,3396,1,1.0404411764705883,1.0404411764705883,0,0
1200252,Epitaciolândia,2019,1.1,658,556,1,0.8449848024316109,0.8449848024316109,102,102
1200252,Epitaciolândia,2020,1.1,668,605,1,0.905688622754491,0.905688622754491,63,63
1200252,Epitaciolândia,2021,1.1,678,597,1,0.8805309734513275,0.8805309734513275,81,81
1200252,Epitaciolândia,2022,1.1,670,549,1,0.8194029850746268,0.8194029850746268,121,121
1200252,Epitaciolândia,2023,1.1,688,621,1,0.9026162790697675,0.9026162790697675,67,67
1200302,Feijó,2019,1.1,1473,1238,1,0.8404616429056347,0.8404616429056347,235,235
1200302,Feijó,2020,1.1,1477,1231,1,0.8334461746784022,0.8334461746784022,246,246
1200302,Feijó,2021,1.1,1481,1112,1,0.7508440243079001,0.7508440243079001,369,369
1200302,Feijó,2022,1.1,1500,1220,1,0.8133333333333334,0.8133333333333334,280,280
1200302,Feijó,2023,1.1,1547,1274,1,0.8235294117647058,0.8235294117647058,273,273
1200328,Jordão,2019,1.1,482,247,1,0.5124481327800829,0.5124481327800829,235,235
1200328,Jordão,2020,1.1,492,299,1,0.6077235772357723,0.6077235772357723,193,193
1200328,Jordão,2021,1.1,501,304,1,0.6067864271457086,0.6067864271457086,197,197
1200328,Jordão,2022,1.1,535,348,1,0.6504672897196262,0.6504672897196262,187,187
1200328,Jordão,2023,1.1,551,463,1,0.8402903811252269,0.8402903811252269,88,88
1200344,Manoel Urbano,2019,1.1,419,316,1,0.7541766109785203,0.7541766109785203,103,103
1200344,Manoel Urbano,2020,1.1,425,253,1,0.5952941176470589,0.5952941176470589,172,172
1200344,Manoel Urbano,2021,1.1,430,282,1,0.6558139534883721,0.6558139534883721,148,148
1200344,Manoel Urbano,2022,1.1,532,348,1,0.6541353383458647,0.6541353383458647,184,184
1200344,Manoel Urbano,2023,1.1,549,399,1,0.726775956284153,0.726775956284153,150,150
1200351,Marechal Thaumaturgo,2019,1.1,787,615,1,0.7814485387547649,0.7814485387547649,172,172
1200351,Marechal Thaumaturgo,2020,1.1,805,565,1,0.7018633540372671,0.7018633540372671,240,240
1200351,Marechal Thaumaturgo,2021,1.1,823,575,1,0.6986634264884569,0.6986634264884569,248,248
1200351,Marechal Thaumaturgo,2022,1.1,713,544,1,0.7629733520336606,0.7629733520336606,169,169
1200351,Marechal Thaumaturgo,2023,1.1,731,611,1,0.8358413132694938,0.8358413132694938,120,120
1200336,Mâncio Lima,2019,1.1,687,804,1,1.1703056768558953,1.1703056768558953,0,0
1200336,Mâncio Lima,2020,1.1,699,803,1,1.1487839771101573,1.1487839771101573,0,0
